Pertanyaan,Jawaban,Label
Ceritakan pengalaman kerja Anda sebelumnya ?,"Sebelumnya, saya bekerja di industri keuangan dan ini adalah pengalaman barista pertama saya.",Salah
Ceritakan pengalaman kerja Anda sebelumnya ?,Saya memiliki pengalaman kerja sebagai barista di kafe dengan tema alam.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena cinta saya terhadap seni kopi.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Keahlian saya dalam mencampur dan menyajikan minuman kopi membuat saya tertarik menjadi barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya ingin mendalami dunia kopi dan mengeksplorasi rasa-rasa yang berbeda.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Keterlibatan saya di industri kopi lokal mendorong saya untuk menjadi barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista memberi saya kesempatan untuk berinteraksi dengan pelanggan dan berbagi pengetahuan tentang kopi.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Kecintaan saya terhadap aroma kopi dan proses pembuatannya membuat saya tertarik menjadi barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya ingin menciptakan pengalaman positif untuk pelanggan melalui minuman kopi yang saya sajikan.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Passion saya terhadap seni barista dan kreativitas dalam menyajikan kopi membuat saya memilih profesi ini.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya ingin belajar lebih banyak tentang teknik-teknik kopi dan seni dari para barista berpengalaman.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena ingin mengembangkan keterampilan saya dalam membuat kopi yang berkualitas.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Ketertarikan saya terhadap budaya kopi global mendorong saya untuk menjadi bagian dari dunia barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista memberi saya kesempatan untuk belajar tentang berbagai jenis biji kopi dari seluruh dunia.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena ingin berkontribusi pada komunitas kopi lokal.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Keterlibatan saya dalam komunitas kopi sebelumnya membuat saya ingin menjadi barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena ingin menciptakan minuman kopi yang memuaskan lidah pelanggan.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Kepengenalan saya pada proses roasting dan brewing kopi mendorong saya untuk menjadi barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena ingin memahami lebih dalam tentang seni pembuatan espresso.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista memberi saya kesempatan untuk belajar dan tumbuh dalam industri kopi.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya ingin menjadi bagian dari komunitas barista yang kreatif dan bersemangat.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Ketertarikan saya terhadap latte art membuat saya memilih profesi sebagai barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista memberi saya peluang untuk menciptakan minuman kopi khas dan unik.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena ingin berbagi kecintaan saya terhadap kopi dengan orang lain.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Keterlibatan saya dalam acara-acara kopi lokal mendorong saya untuk menjadi barista.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya ingin menggali lebih dalam tentang cerita dan perjalanan kopi dari berbagai daerah.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista memberi saya kesempatan untuk terus mengembangkan pengetahuan saya tentang kopi.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena ingin menciptakan pengalaman positif melalui setiap cangkir kopi.,Benar
Apa yang membuat Anda tertarik menjadi barista?,Saya tertarik menjadi barista karena saya suka minum kopi setiap hari.,Salah
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista adalah pilihan karier yang paling mudah dan tidak memerlukan keterampilan khusus.,Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya pikir menjadi barista itu sama saja dengan menjadi pelayan di kafe.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya tidak tertarik menjadi barista, tetapi saya butuh pekerjaan.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya pikir menjadi barista itu hanya tentang mencampurkan kopi dan susu.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Tidak ada alasan khusus, saya hanya mencoba-coba menjadi barista.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya menjadi barista karena saya pikir pekerjaan ini tidak memerlukan kecerdasan khusus.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya tidak terlalu suka kopi, tapi saya pikir menjadi barista itu keren.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Menjadi barista adalah pilihan terakhir setelah saya gagal mendapatkan pekerjaan lain.,Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya ingin menjadi barista karena saya pikir pekerjaan ini mudah dan santai.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya lebih suka teh daripada kopi, tapi saya jadi barista saja.",Salah
Apa yang membuat Anda tertarik menjadi barista?,"Tidak ada alasan khusus, saya hanya butuh pekerjaan apa pun.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya pikir menjadi barista itu hanya tentang menekan tombol mesin kopi.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya tidak tertarik pada dunia kopi, tapi tidak ada pekerjaan lain.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya menjadi barista karena teman saya juga menjadi barista.,Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya pikir menjadi barista itu hanya tentang menuangkan air panas ke dalam gelas.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya tidak tahu banyak tentang kopi, tapi saya coba menjadi barista saja.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya menjadi barista karena saya pikir pekerjaan ini tidak terlalu sibuk.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Tidak ada alasan khusus, saya hanya mencoba-coba saja.",Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya lebih suka minuman dingin daripada minuman panas seperti kopi.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya pikir menjadi barista itu tidak memerlukan keterampilan khusus.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya tidak terlalu suka dengan rasa kopi, tapi saya menjadi barista saja.",Salah
Apa yang membuat Anda tertarik menjadi barista?,Saya menjadi barista karena saya pikir pekerjaan ini bisa dilakukan tanpa stres.,Salah
Apa yang membuat Anda tertarik menjadi barista?,"Tidak ada alasan khusus, saya hanya mengikuti teman-teman yang menjadi barista.",Salah
Apa yang membuat Anda tertarik menjadi barista?,"Sebenarnya, saya lebih suka minum minuman manis daripada kopi.",Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya berbicara dengan tenang kepada pelanggan yang tidak puas dan mencari solusi untuk memuaskan mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengakui ketidaknyamanan pelanggan dan memberikan diskon atau voucher sebagai kompensasi.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menawarkan permintaan maaf kepada pelanggan yang tidak puas dan memastikan bahwa keluhan mereka ditangani dengan serius.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencoba memberikan perhatian ekstra kepada pelanggan yang tidak puas untuk menciptakan pengalaman positif.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya berusaha menyelesaikan masalah pelanggan dengan cepat dan efisien untuk mengurangi ketidakpuasan.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya meminta maaf kepada pelanggan yang tidak puas dan bertanya bagaimana saya dapat membantu memperbaiki situasinya.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencari bantuan rekan kerja untuk menangani lonjakan pelanggan dan memastikan kepuasan mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menawarkan opsi penggantian atau pengembalian uang kepada pelanggan yang benar-benar tidak puas.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengajukan pertanyaan lebih lanjut kepada pelanggan untuk memahami sumber ketidakpuasan mereka dengan lebih baik.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menyampaikan permintaan maaf secara pribadi kepada pelanggan yang tidak puas dan menjamin perbaikan di masa mendatang.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencoba memberikan perhatian khusus kepada pelanggan yang tidak puas untuk memperbaiki pengalaman mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menjelaskan situasi kepada pelanggan dengan jujur dan mencari cara untuk memperbaiki kesalahan jika ada.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya berusaha memahami perspektif pelanggan yang tidak puas dan memberikan penjelasan atau solusi yang memuaskan.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Saya bertanggung jawab untuk memastikan bahwa semua pelanggan, termasuk yang tidak puas, mendapatkan pelayanan yang terbaik.",Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menyampaikan permintaan maaf dan menjelaskan langkah-langkah yang akan diambil untuk memperbaiki keadaan.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Saya mencari cara kreatif untuk menghibur pelanggan yang tidak puas, seperti memberikan sampel produk atau diskon tambahan.",Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Saya berkoordinasi dengan tim untuk meningkatkan efisiensi layanan saat kafe penuh, mengurangi kemungkinan pelanggan tidak puas.",Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya fokus pada peningkatan komunikasi dengan pelanggan untuk mencegah ketidakpuasan di masa mendatang.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencoba menawarkan alternatif atau solusi lain kepada pelanggan yang tidak puas.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya memastikan bahwa pelanggan yang tidak puas merasa didengar dan dihargai dengan memberikan perhatian penuh pada keluhan mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengevaluasi proses kerja di kafe untuk mengidentifikasi penyebab ketidakpuasan dan mencari solusi jangka panjang.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencari dukungan manajemen untuk menangani keluhan pelanggan yang tidak puas dengan lebih efektif.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengabaikan keluhan pelanggan dan fokus pada melayani pelanggan lain yang puas.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya memberikan tanggapan yang kurang sopan atau tidak bersahabat kepada pelanggan yang tidak puas.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menyalahkan pelanggan jika kafe penuh dan situasi sulit diatasi.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menghindari berbicara dengan pelanggan yang tidak puas dan mengabaikan keluhan mereka.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya tidak peduli dengan pelanggan yang tidak puas dan tidak melakukan apa pun untuk memperbaiki situasi.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya berbicara dengan tenang kepada pelanggan yang tidak puas dan mencari solusi untuk memuaskan mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya pikir menjadi barista itu tidak terlalu sulit.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengakui ketidaknyamanan pelanggan dan memberikan diskon atau voucher sebagai kompensasi.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Menjadi barista itu sama saja dengan menjadi koki, tidak perlu keahlian khusus.",Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya ingin mendalami dunia kopi dan mengeksplorasi rasa-rasa yang berbeda.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menghindari berbicara dengan pelanggan yang tidak puas dan mengabaikan keluhan mereka.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Keterlibatan saya di industri kopi lokal mendorong saya untuk menjadi barista.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya tidak peduli dengan pelanggan yang tidak puas dan tidak melakukan apa pun untuk memperbaiki situasi.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya berusaha menyelesaikan masalah pelanggan dengan cepat dan efisien untuk mengurangi ketidakpuasan.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menawarkan permintaan maaf kepada pelanggan yang tidak puas dan memastikan bahwa keluhan mereka ditangani dengan serius.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Menjadi barista adalah pilihan karier yang paling mudah dan tidak memerlukan keterampilan khusus.,Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencoba memberikan perhatian ekstra kepada pelanggan yang tidak puas untuk menciptakan pengalaman positif.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Sebenarnya, saya tidak tertarik menjadi barista, tetapi saya butuh pekerjaan.",Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya meminta maaf kepada pelanggan yang tidak puas dan bertanya bagaimana saya dapat membantu memperbaiki situasinya.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencari bantuan rekan kerja untuk menangani lonjakan pelanggan dan memastikan kepuasan mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Menjadi barista memberi saya kesempatan untuk belajar tentang berbagai jenis biji kopi dari seluruh dunia.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menawarkan opsi penggantian atau pengembalian uang kepada pelanggan yang benar-benar tidak puas.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya meminta maaf kepada pelanggan yang tidak puas dan menjelaskan langkah-langkah yang akan diambil untuk memperbaiki keadaan.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencoba memberikan perhatian khusus kepada pelanggan yang tidak puas untuk memperbaiki pengalaman mereka.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengajukan pertanyaan lebih lanjut kepada pelanggan untuk memahami sumber ketidakpuasan mereka dengan lebih baik.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Sebenarnya, saya tidak suka minum kopi, tapi saya jadi barista saja.",Salah
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya menyampaikan permintaan maaf secara pribadi kepada pelanggan yang tidak puas dan menjamin perbaikan di masa mendatang.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,"Saya mencari cara kreatif untuk menghibur pelanggan yang tidak puas, seperti memberikan sampel produk atau diskon tambahan.",Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya fokus pada peningkatan komunikasi dengan pelanggan untuk mencegah ketidakpuasan di masa mendatang.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mencoba menawarkan alternatif atau solusi lain kepada pelanggan yang tidak puas.,Benar
Bagaimana Anda mengatasi situasi saat kafe penuh dan ada pelanggan yang tidak puas?,Saya mengevaluasi proses kerja di kafe untuk mengidentifikasi penyebab ketidakpuasan dan mencari solusi jangka panjang.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menggunakan biji kopi segar dan berkualitas tinggi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menggiling biji kopi sebelum setiap ekstraksi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Memastikan tekanan mesin espresso dalam batas optimal.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menimbang jumlah kopi yang tepat untuk setiap shot espresso.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menjaga suhu air mesin espresso stabil.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Membersihkan mesin espresso secara rutin.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menggunakan air bersih dan kualitas tinggi untuk ekstraksi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Memastikan waktu ekstraksi yang sesuai.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menyesuaikan kehalusan gilingan biji kopi sesuai kebutuhan.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menyajikan espresso segera setelah ekstraksi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Mengukur dosis kopi yang konsisten untuk setiap shot.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Memilih biji kopi dengan profil rasa yang sesuai untuk espresso.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menggunakan tekanan air yang tepat selama ekstraksi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menghindari menyimpan biji kopi dalam kondisi yang lembab.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Mengkalibrasi mesin espresso secara teratur.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menjaga kebersihan alat-alat penggiling kopi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Mengukur suhu air secara rutin untuk menjamin konsistensi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Mengganti gasket dan seal mesin espresso sesuai jadwal perawatan.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menyesuaikan kadar kelembaban biji kopi dengan baik.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menghindari over-extraksi atau under-extraksi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menyajikan espresso dalam cangkir yang sudah dipanaskan.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menyesuaikan tekanan mesin berdasarkan jenis biji kopi.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menggunakan air yang telah difilter untuk mencegah rasa yang tidak diinginkan.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menjaga tingkat kebersihan mesin espresso dengan seksama.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Mengganti air dalam mesin secara teratur untuk menghindari penumpukan mineral.,Benar
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Espresso yang sempurna hanya dapat dicapai dengan menggunakan biji kopi termahal.,Salah
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Gilingan kasar biji kopi memberikan hasil espresso yang lebih baik.,Salah
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Espresso yang enak dapat dihasilkan tanpa menjaga suhu air mesin espresso.,Salah
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Membersihkan mesin espresso hanya diperlukan sesekali.,Salah
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Biji kopi yang telah disimpan lama tetapi masih dalam kemasan aslinya tetap berkualitas.,Salah
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Menggunakan air biasa tanpa memperhatikan kualitasnya tidak mempengaruhi hasil espresso.,Salah
Jelaskan bagaimana Anda membuat espresso yang sempurna ?,Waktu ekstraksi yang lama selalu menghasilkan espresso yang lebih baik.,Salah
